,ghi_mean,ghi_std,ghi_max,ghi_cv,pv_energy_kwh,pv_peak_kw,load_mean_kw,load_energy_kwh,bess_dis_energy_kwh,bess_ch_energy_kwh,grid_imp_energy_kwh,grid_exp_energy_kwh,temp_mean_c,temp_max_c,day_type
2024-09-17,560.5206382978723,311.05673721608804,944.47,0.554942523009806,1518.7909366389133,205.6580759684267,108.58442259133388,1275.866965448173,20.76484540353227,320.2215327679488,226.22735302646998,169.3104097942513,21.910851063829785,26.65,partly_variable
2024-09-18,595.4613829787235,313.76107260723666,981.1,0.5269209416027703,1535.290501443046,205.49388122558665,121.67856908542062,1429.7231867536923,21.197004914283625,284.7791702200971,252.87858186165568,94.4658149679503,24.608829787234043,29.21,clear
2024-09-19,612.5789361702127,317.42921599690357,987.2,0.5181849999306896,1529.40648275365,206.54428609212667,118.3209558137766,1390.2712308118753,19.42697545389322,233.38726826508852,176.39401317139465,101.21795110901185,27.28563829787234,31.11,clear
2024-09-20,588.0010204081633,329.98265886252074,983.85,0.5611940241761179,1512.0979449227457,201.79927062988335,104.92989182087028,1285.391174805661,19.016345043977108,304.2787701586882,180.12285016477156,121.01726522048322,25.341326530612243,30.75,partly_variable
2024-09-21,481.3476530612245,282.8222752331843,881.33,0.5875634241374622,1379.9609344601597,207.33757527669,43.17967427334413,528.9510098484657,20.913696387161735,322.74892829855276,81.28790438175203,635.5339342653758,26.81122448979592,31.8,high_variability
2024-09-22,445.66999999999996,284.1162828540675,862.55,0.637503719913989,1060.6914135018953,206.98595174153337,57.53805296123028,704.8411487750709,80.34776518742227,241.7472141658267,85.78024462858828,285.7870998531583,26.447857142857142,32.25,high_variability
2024-09-23,234.27112244897958,140.33881523839347,476.88,0.5990444480367271,403.32137146964743,102.24245198567868,101.87043971649456,1247.9128865270586,1.3829305867354085,23.354861258839517,868.2614029248558,0.4644844842453792,24.39887755102041,28.65,high_variability
2024-09-24,313.1340816326531,213.43531386428856,643.05,0.6816099759932102,779.4848661869769,199.28262837728,96.49620296537468,1182.0784863258398,40.368330128490996,98.79786581049363,479.8665084391836,18.034890850384954,23.466326530612243,26.52,high_variability
2024-09-25,482.96051020408163,301.1514702302974,886.5,0.6235529900840994,1024.8904029354449,200.86544291178333,106.06165949037285,1299.2553287570672,56.883464142680104,110.44689077138918,385.17209288477915,56.656917018194925,26.01285714285714,30.68,high_variability
2024-09-26,583.7988775510204,331.7686310102445,986.58,0.5682926839496193,1559.3890976694734,212.52134195963663,103.42180927356269,1266.9171636011429,22.521708676901902,321.0028595455613,171.1778213928138,164.7224845985573,23.177040816326528,26.97,high_variability
2024-09-27,601.4376530612245,333.172936982983,1001.8,0.5539608890251287,1562.4985871911063,209.6583048502633,105.49880364220466,1292.360344617007,18.72162669400383,321.21485140702396,191.89722661177268,159.13002709547692,23.979285714285716,28.89,partly_variable
2024-09-28,571.9129591836735,328.0787126751628,976.95,0.5736514751186085,1370.7186854978415,203.82407124837337,57.21830122223519,700.9241899723812,52.864157329002964,325.2294316192467,89.90367714563997,488.00289018948854,28.856122448979594,33.98,high_variability
2024-09-29,406.60224489795917,223.5286461217956,682.15,0.5497476930504708,476.12704449892067,78.77342478434234,45.04517490355946,551.8033925686034,12.02445432295401,35.69552895799287,139.58404596336172,40.48644751931221,23.120510204081633,27.18,partly_variable
2024-09-30,560.4425510204082,304.45218509006816,923.78,0.5432353138350154,1336.2852981487943,199.73223368326668,94.00629481075153,1151.5771114317065,28.4036236206691,227.3505389591061,172.19035118197414,157.5380503584943,23.225714285714286,27.63,partly_variable
2024-10-01,342.014081632653,176.82872904243825,577.45,0.5170217793323625,729.3972234974299,157.09489949544,94.3994609065301,1156.3933961049934,15.584661532814295,35.648873836423014,467.647080628823,20.192424731329062,21.358571428571427,24.6,clear
2024-10-02,610.2467346938776,331.77578923020286,1006.9,0.5436748291601002,1587.86541833977,208.96507263183665,107.3772100713734,1315.370823374324,20.536225519763814,320.52858187754964,207.7700505107639,179.9156772692997,26.11469387755102,31.15,partly_variable
2024-10-03,472.7131632653061,263.16733893519773,828.53,0.5567167563461679,1155.4655714929122,202.20250447591337,102.45867966531101,1255.1188259000598,40.687173580130015,117.90461927155651,226.70710953076681,49.53166131178534,30.642448979591837,35.51,partly_variable
2024-10-04,431.2057142857143,257.0088706052607,786.33,0.5960238050903199,1072.9605562935267,195.7542673746767,131.65065653997206,1612.7205426146577,0.0,1.6281464795271658,618.8916310220949,43.1770954628785,27.34265306122449,32.94,high_variability
2024-10-05,609.7878571428571,330.5524616830732,1019.5,0.5420778026506905,1450.0400872031853,194.07196553548332,52.31552587647217,640.865191986784,0.0,0.0,77.73727766672765,886.6435267130568,29.15642857142857,33.77,partly_variable
2024-10-06,627.3951020408164,336.1002506980026,1030.35,0.5357074825811071,1479.7688053647692,197.38434346517,43.544246680071566,533.4170218308768,0.0,0.0,75.0498069524767,1021.1336930965406,29.895204081632652,34.69,clear
